FacultyName,CourseName,CourseDivision,Level,CourseDescription,Bonus Information
"Longsworth, Gordon",Geographic Information Systems I: Foundations & Applications,HS,Introductory/Intermediate,"The ever-increasing human population and its profound impact on the Earth's systems and finite resources pose significant risks to all of nature and human societies. As researchers continue to gather and publish data on these challenges, Geographic Information Systems (GIS) have emerged as a critical tool for understanding the complex interrelationships between human activities and environmental and social threats. Many of the issues facing the planet and its inhabitants are place-based, meaning they are tied to specific geographic locations and regions. Addressing these challenges requires tools that can analyze, visualize, and help people work together towards solutions. This is precisely what GIS offers by integrating geography, cartography,  spatial analytics and data science using ArcGIS Pro and ArcGIS Online, the technology used in this class.

GIS enables individuals and organizations to collaborate effectively using the best available tools and information. Given its importance, proficiency in GIS is increasingly becoming a prerequisite for entry into many graduate programs and professional roles. Particularly in fields such as natural resource management, conservation, ecological inventories, climate studies, land and ocean planning, policy, health, and many other areas. It is an important tool for applied human ecology.

This course is designed to provide students with both technical and applied knowledge of GIS. It begins with foundational underpinnings and training in the technology, introducing students to key concepts, industry practices, and influential figures in the field. Once the basics are established, students transition to applying their skills through self-designed projects that tackle real-world issues. These projects form the core of the coursework, allowing each student to explore topics of personal or academic interest. GIS is particularly well-suited to the philosophy of ""thinking globally and acting locally,"" as it provides tools to address problems at various scales, from local communities to global ecosystems.

Students utilize ESRI ArcGIS software and can draw from extensive data, training, and information available on ArcGIS Online and other sources. Many students incorporate data they have collected during fieldwork or research for other classes, making their projects highly personalized and relevant. To support their progress, students meet with the instructor for 30 minutes each week outside of class for status check-ins on how they are doing in the class, project consultation, and guidance.

This course is designed for students with an intermediate to advanced level of understanding of their field or subject of interest, with a prerequisite of readiness for independent work and a solid concept for their term project. Course evaluations are based on a combination of factors, including the timely completion of exercises and assignments and how effectively students apply GIS to their academic or professional interests, as demonstrated by their independent projects and accompanying documentation.

Level: Introductory/Intermediate. Prerequisites: None. Class limit: 10. Lab fee: $75. Meets the following degree requirements: HS.",
"Hall, Sarah",Geology of Mt. Desert Island,ES,Introductory,"This course is designed to introduce students to geological concepts, tools of the trade, and to the geological history of Mount Desert Island. Throughout the course, students will learn skillsets (topographic and geologic map reading, orienteering, field observation, note taking, field measurements) and geologic principles (rock types, stratigraphy, plate tectonics, earth systems, geologic time, surface processes) both in the classroom and in the field. We will conduct multiple short field excursions on MDI and one extended weekend field trip to explore the regional geology. Students will submit a term project complete with their own field data, maps, photos, and analysis of the local and regional geology. Students will be evaluated on the term project, short quizzes, additional written assignments and lab reports. Offered every fall. 

Level: Introductory. Prerequisites: none. Class limit: 14.  Lab Fee: $50.  Meets the following degree requirements: ES
",
"Nguyen, Duc Hien","Hard(ly) Working: The Promises, Problems, & Politics of Work",HS,Introductory/Intermediate,"You are not your job—or are you? Do you live to work or work to live? Consider a job you hope to hold after graduation: if it disappeared tomorrow, would anyone notice? More fundamentally, why do we work—and why are we expected to work at all? 
These are the motivating questions of this seminar. Drawing on Marxist and feminist political economy, we will examine how work has come to function not merely as an economic necessity but as an ethical imperative in modern capitalist societies. We take seriously Kathi Weeks’s provocation that work has become the primary axis through which political subjects, social respectability, life’s meaning, and moral goodness are constituted (The Problem with Work, 2011). The problem with work, in this sense, is not only that it is often exploitative or alienating, but that it is compulsory—structurally and ideologically.

We will also reckon with a peculiar feature of contemporary finance capitalism: the proliferation of “bullshit jobs” in administration, finance, corporate services, and other industries (Graeber, Bullshit Jobs, 2018)—jobs which arguably don't produce anything and whose elimination makes no material difference to the world. We will examine them alongside the rise of the gig and content creation economy, the increasing precarity of waged work, and the changes ushered in by technology such as AI and robotic automation (Standing, The Precariat, 2021). If bullshit jobs expose the hollow promise of meaningful work, these latter phenomena belie the fiction that work brings material stability. 
We conclude the term by examining antiwork politics and their imaginative project of a post-work society. We ask whether labor movements organized around fair wages, better working conditions, and recognition of unpaid labor represent a path toward emancipation from the employment relation, or whether they reproduce the very compulsion they contest.

The course is valuable for students who want to engage critically with the demand and desire that binds us to work, who struggle to map out a future career that balances meanings, values, and material wellbeing, or who wish to cultivate a creative imagination about a post-work future. Students who are in the process of applying for internships, job hunting, or exploring post-graduation opportunities might find this seminar especially valuable. While the seminar does not address career preparation directly, it helps build the capacity to navigate the material and ethical demands of work with clarity and integrity.

Students will be evaluated through a combination of seminar participation, reading responses, and a final project. Seminar discussion might be supplemented by opportunities to conduct ethnographic interviews with community members about their relationship to work and career.

Level: Introductory/Intermediate. Prerequisites: No formal prerequisite, but students may benefit from having taken Introduction to Political Economy or similar coursework. Class limit: 15. Lab fee: None. Meets the following degree requirements: HS.",
"Ferrari , Melissa",Illuminated Landscapes: Experimental Animation & Projection,ADS,Introductory/Intermediate,"How can we use handmade animation as an artistic practice to perceive, understand and visualize ecological relationships? Learning a variety of experimental hand-drawn and stop motion animation techniques, students will focus on local landscapes and histories, resulting in a series of cinematic experiments that may be woven into a longer film project. Site-specific prompts will lead us to create animations outside, and we will return our animations back to the landscape through projection mapping and expanded cinema approaches.

The first section of the course will focus on palimpsest animation and basic stop motion techniques. We will meet at local coastal locations to animate “en plein air,” using hand-drawn charcoal and sand animation to perceive and record the surrounding environment, attuning our observational skills to moving images. Students will investigate how stop motion can be used to unveil hidden patterns in the environment and expose forgotten histories. Collaborative strata-cut claymation, cel animation, and time-lapse exercises will encourage students to further engage philosophies of time, including manipulating natural lighting and visualizing deep time.

Next we will shift to analog cameraless animation techniques, using cyanotypes and phytography to create 16mm abstractions with local plant chemistry, engaging ideas of documentation, indexicality, preservation, and sustainable filmmaking practices. Finally, students will activate their animations in the landscape with projection arts, trying various natural landscapes as canvases for our projections.

Short lectures and screenings of artists including Carole Kim, Alisi Telengut, Sarah E. Jenkins, Miwa Matreyek, Corrie Parks, Jane Aaron, Lynn Tomlinson, and Rose Lowder will provide conceptual frameworks for our experiments. Students will learn foundational skills in Stop Motion Animation Studio, Dragonframe, and Adobe Premiere to create and edit animations with sound.

Evaluation will be based on successful completion of assignments, thoughtful engagement in critiques and conversations, and active participation in production exercises.

Level: Introductory/Intermediate. Prerequisites: Students should have previous coursework/experience in visual arts, but no animation experience required. Class limit: 12.  Lab fee: $80.  Meets the following degree requirements: ADS.",
"Gadeken, Kara",Intertidal Ecology,ES,Introductory,"The intertidal occupies the space on the ocean shore between the highest and lowest extents of the tides, and the organisms inhabiting the intertidal must adapt to an ever-fluctuating environment. It is unique among ecosystems in that it condenses and concentrates many ecological processes along a strong physiological gradient, and so serves as an ideal environment to observe and investigate fundamental ecological principles.

In this course, you will be introduced to the many diverse intertidal ecosystems of coastal Maine, from rocky shorelines to tidal mudflats to salt marshes. Through discussions in class and observations in the field, we will endeavor to answer the questions:

What organisms are found in the intertidal, and how are they adapted to life there?
How is the distribution of intertidal organisms dictated by living in a transitional environment?
How do intertidal organisms interact with each other, and how does this shape the community?

We meet twice per week for class time with one afternoon lab period. During lab time we will be going on field trips as much as possible to explore the local intertidal habitats. This course is intended as an accessible introduction to marine community ecology and field work. Assessment is based on weekly question sets, lab assignments, and a short research proposal.

This course is a partner course to Ecology: Natural History, meaning we explore the same topics just in different environments. Therefore, students may enroll in either Intertidal Ecology or Ecology: Natural History but not both.

Level: Introductory. Prerequisites: None. Class limit: 16. Lab fee: $15. Meets the following degree requirements: ES.",
"Ialeggio, Anna",Introduction to Ceramic Sculpture,ADS,Introductory,"Clay is a unique sculptural medium that can be highly technical and precise, a glorious gestural mess, and/or all points in between! This is an introductory studio course centered on hand-building in clay: pinch, coil, slab, extrusion, and molds. Through a series of technical and conceptual projects, we will engage the shifting intertidal zone between “form” and “function” as it may manifest through diverse cultural, material, and historical frameworks. Along the way, students will develop their own unique, expressive approaches to the possibilities and limitations of working with clay. (Note: this class does not include instruction on the wheel.) Students will be thoroughly immersed into the processes and techniques of handbuilding in mid-fire clay and in maintaining the studio itself. Students will acquire a practical introductory understanding of the material and chemical transformations present in ceramic processes. Through presentations and readings, we’ll explore a selection of global, historical and contemporary ideas and practices in ceramic craft and sculpture. We’ll put all of this together in search of new ways to communicate and experience ideas through three-dimensional forms in space. 

Evaluation is based on participation in class activities: exercises, readings and discussions, significant studio time outside of class, several short writing and/or drawing assignments, timely completion of all creative projects with corresponding group feedback sessions, and consistent studio maintenance.

Leve: Introductory. Prerequisites: None. Class limit: 12.  Lab fee: $120.  Meets the following degree requirements: ADS.",
"Nguyen, Duc Hien",Introduction to Microeconomics,HS QR,Introductory,"Economics has a popular reputation as a field of study centered around making money and getting rich. However, for most of its history, economics has been about understanding and changing the way the world works. How do we get our dinner every night? What does it take to transform coffee beans harvested in plantations in Costa Rica to the morning cup of Starbucks across their 38,000 global locations? Why do some individuals amass unfathomable personal wealth while others face daily struggle for material survival? These questions are what economists primarily study. Whether seemingly straightforward or seemingly unfathomable, at their core these issues are about the process of social provisioning. It can be further broken down into the following questions: (i) As a society, how do we determine what to produce and how much? (ii) As a society, how do we distribute what we produce? And (iii) Who benefits from and who are harmed by our production, distribution and consumption? In this course, we will examine these questions from the perspective of individuals and firms, and we will consider the ways an individual’s preference and decisions are shaped by social institutions and how they, in turn, affect other beings, both human and non-human. You will be introduced to topics such as: individual’s decision making under constraints, social coordination dilemmas, firm’s wage-setting and labor discipline, supply-demand and price setting, market’s successes and failures, and the limits of economic growth. This course aims to increase your ability to use abstract, quantitative models to approach complex, real-world problems such as worsening economic inequalities and global climate change. Upon completion of this course, you will have developed practices of thinking critically and politically about public policies and debates. You will also expand your capacity for numerical literacy and quantitative skills such as drawing valid conclusions based on data and communicating your reasoning and results effectively and clearly. The course is especially valuable for students with interests in civic engagement, social justices, political transformation, and sustainable development. Knowledge in calculus, statistics, and linear algebra is not necessary, and familiarity with elementary algebra will be helpful but not required. Students’ learning will be assessed through problem sets and (take-home) exams.

Level: Introductory. Prerequisites: Knowledge in calculus, statistics, and linear algebra is not necessary, and familiarity with elementary algebra will be helpful but not required. Class limit: 15.  Lab fee: None.  Meets the following degree requirements: HS, QR.",
"Carver, Jonathan",Introduction to Mycology,ES,Introductory/Intermediate,"The fungal kingdom contains a diversity of mushroom forming and non-mushroom forming organisms which exhibit a wide range of life histories. As mutualists, pathogens, and decomposers, fungi are important components of almost all ecosystems on Earth. In addition, fungi have had huge impacts on the environment and human society, from causing the recent die-off of bats, frogs, and several tree species, to the production of alcohol and antibiotics. In this course students will get an overview of the fungal kingdom by learning the biology, ecology, and systematics of major fungal groups, with an emphasis placed on those fungal groups that can be easily observed in the field. Lectures and in class discussions will be supplemented with frequent field trips to observe fungi in their natural habitat and collect specimens for further identification.

Level: Introductory/Intermediate. Prerequisites: Introductory biology. Class limit: 15. Lab fee: None. Meets the following degree requirements: ES.",
"Jacoby, Franklin",Introduction to Philosophy of Mind,HS,Introductory/Intermediate,"What is the mind and how does it relate to the body? This two-part question will guide the structure of this introductory course in the philosophy of mind. Other questions that will arise include how can the mind influence the body? Is this distinction between mind and body deep? Is there a single discipline that can tell us what the mind is and, if not, why not? Is science of help? What strategy or method is best suited to understanding the mind? Do other cultures or religions offer insight? Is the mind inherently mysterious and unknowable? 

Attempts to understand the mind have vexed and stimulated philosophers, scientists, and others since at least as far back as Descartes. Starting with his work, we'll explore classic and contemporary texts in western thought, with particular focus on philosophy, but with some psychology, neuroscience and non-western thought. We will cover a number of theories and our own assumptions about this basic and fundamental feature of human life. Some of the main accounts students will gain familiarity with include dualism, materialism, panpsychism, emergence, and phenomenology.

Evaluation will be based on participation, two short response essays, a midterm essay, a final essay, and a final presentation. 

Level: Introductory/Intermediate.  Prerequisites: None.  Class limit: 15.  Lab fee: None. Meets the following degree requirements: HS.",
"Winer, Joshua",Introduction to Photography,ADS,Introductory,"Photography is a common language spoken across cultural, economic and geographical boundaries - used in news gathering, commerce and fine art.  Being able to use the camera as an effective tool for self expression or in the pursuit of a documentary project is a skill which is applicable to a large number of COA students.  A broad introduction to photography and digital printing,  this course will introduce the principles and applied techniques of contemporary photographic practices.  Designed to put the student in charge of their camera, we'll begin with basic camera controls such as aperture and shutter speed and progress on to more advanced topics such as the proper use of 'flash'.  Also covered will be an introduction to Adobe Photoshop and/or Adobe Lightroom as well as good printing practices in a digital environment. Students will be evaluated on the quality of finished prints included in a final portfolio, their participation in class exercises and critiques and individual growth over the course of the term. Please note that camera equipment will not be provided. Students will need to use their own DSLR camera (with adjustable shutter speeds and f-stops) or borrow this equipment from the library which is typically lent in 4 hour blocks of time.  

Level: Introductory. Prerequisites: none. Lab Fee: $110.  Class Limit: 13.  Meets the following requirements: ADS",
"Slabach, Brittany",Introduction to Wildlife Ecology,ES,Introductory,"This course is designed to introduce students to how, and why, we study and manage wildlife populations. We will discuss the socio-political background and establishment of the North American Model of Wildlife Conservation, considering its biases and limitations. Using a variety of readings, case studies, and hands-on activities, we will explore the ecological processes and common conservation management tools that underlie wildlife management. We will explore examples from throughout North America, with a particular focus on the different wildlife populations found on MDI. The class will be a mix of discussion, in-class and field activities. Students will be required to participate in at least one weekend day of wildlife sampling. Assessment will be based on participation, activities, and written reflections.
This course is open to anyone interested in wildlife ecology, particularly those interested in its history, concepts, and role in modern conservation movements. It is particularly suitable for students interested in pursuing careers in wildlife biology or those interested in working with state or federal agencies, or NGOs.

Level: Introductory. Prerequisites: None. Class limit: 16. Lab fee: None. Meets the following degree requirements: ES.",
"Graham, Carrie",Introductory Entomology,ES,Introductory/Intermediate,"Nearly 80% of all described species belong to the class Insecta.  Due to their abundance, diversity and adaptability, insects are crucial components of terrestrial, freshwater and human-made ecosystems.  Students with a background in entomology can apply their knowledge of insects to many other fields, including botany, ecology, anthropology, epidemiology and medicine, agriculture, climate change, visual arts, history, and even the culinary arts.  This course will give students a sampling of entomological applications within these diverse fields.  Students will be given a solid introduction to insect biology, ecology, taxonomy and identification through lectures, lab sessions and field trips.  They will assemble their own insect collections and will learn to identify all Maine insect orders and many common insect families.  Lectures, field trips and readings will emphasize the important role of insects in human lives and our impact on the environment.  Students will be evaluated on their insect collections, performance on lab quizzes, participation and one paper with presentation.

Level: Introductory/Intermediate.  Prerequisites: Bio 1 or permission of instructor.  Class limit: 16.  Lab fee $35.  Meets the following degree requirements: ES",
"Gadeken, Kara",Invertebrate Zoology,ES,Intermediate,"This course is a phylogenetic survey of the major groups of animals without backbones. These animals range in size from single cells to giant squids, and they include the vast majority of animals on earth. Using text readings, assigned articles, and one afternoon per week of field/lab work, students gain an understanding of the classification, physiology, ecology, evolutionary relationships, and economic significance of this remarkably diverse collection of organisms. Students are evaluated on lab notebooks, weekly homework assignments, and two short research projects.

Level: Intermediate.  Prerequisites:  Biology: Form and Function and Biology: Cellular Processes of Life, or signature of instructor.  Offered every other year.  Class limit: 16.  Lab fee $25.  Meets the following degree requirements: ES",
"Turok, Katharine","Journeys: Writing for Voyagers, Trekkers, Wanderers",W HS,Introductory/Intermediate,"How can witnessing and reporting other worlds—whether a country, a village, a river, a mountain, or a back alley--make us more sensitive travelers, sharpen awareness of cultural biases, and empower place-based writing? This course highlights the allure, the dangers, uncertainties, risks, and joys of travel expressed in student writing. What words, images, foods, music, rituals, or other sources of inspiration spark curiosity and passions that make us want to go places?

Genre analysis, writing, and transdisciplinary research projects will deepen a sense of place as the course explores the rhetoric of travel and its transformative impacts.  Students will experiment with, for instance, flash-essays, chronicles, interviews, journals, and field notes. Research projects will spotlight judicious selection of relevant sources, integration of data, and inclusion of multimodal elements. We will consider, too, the relation between travel writing and ethnography, between travel and gender, racial, religious, and ethnic components. Conveying impressions after short or extended excursions, students will recognize and develop which rhetorical strategies are appropriate for particular purposes, situations, audiences, discourse communities, and genres. Maps, films, infographics, letters, newspaper articles, guidebooks, blogs, Instagram posts, diaries, and logs constitute genres that may be examined and created. Students will further hone their craft in writing workshops, conversations, conferences, and presentations.  

Short excerpts that reflect the intimate connection between travel and writing will be discussed, and the various rhetorical strategies employed by writers such as Matsuo Basho, Tu Fu, Álvar Núñez Cabeza de Vaca, Olaudah Equiano, Mary Kingsley, James Baldwin, Maxine Hong Kingston, Taras Grescoe, Bill Bryson, Annie Dillard, William Least Heat-Moon, Anthony Bourdain, Eileen Myles, Binyavanga Wainaina, and Hans M. Carlson. Whether an Inuit film for global audiences, or the map of a route across the North American continent by water, or notes in a diary from the Hindu Kush, for example, the course materials do more than simply record or narrate experiences and territories: they also report and shape the world and what it means to us. 
Evaluations will be based on class discussions, writing projects, and presentations.

Level: Introductory/Intermediate. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: W, HS.",
"Mahoney, Daniel",Little Magazines: Seminar in Contemp. Literary Publishing,HS,Introductory/Intermediate,"This course is an introduction to literary magazines and the work of editing. We will examine the history of “little” magazines from the mid nineteenth century to the present day. We will investigate the impact of literary magazines on literary culture in America and the world. This class will also be dedicated to surveying the current literary landscape, both print and digital, with special emphasis on BATEAU, the new literary magazine being published at College of the Atlantic. Through the production of BATEAU, the course will offer practical experience in literary publishing: students will gain experience in editing, layout and production, as well as publicizing and promoting the finished product. Students will be expected to respond to course readings on literary magazines and culture as well as keep detailed response notes to submissions to the magazine. Student editors will recommend pieces for publication, rejection and/or further consideration. In addition to editorial duties, students will be expected to complete a midterm and a final project. 

Level: Introductory/Intermediate.  Prerequisites: Writing Seminar, a creative writing or literature class.  Class limit: 12.  Lab fee: none. Meets the following degree requirements: HS.",
"Baker, Jodi",Movement Training Basics Section A,ADS,Introductory,"This course is an introduction to a wide variety of physical skills useful for anyone interested in investigating their own potential for physical research and self-expression. Techniques are derived from movement training methodologies developed for actors as well as other practices including (but not limited to) classical ballet, martial arts, circus skills, sports training, acrobatics, and improvisation. Students gain a greater sense of physical awareness and imaginative possibility, building strength, mental and physical agility, stamina and flexibility while grappling with questions regarding personal and collective responsibility, personal and collective consent and the power/politics of a specific body in a given space or circumstance. The class works to challenge preconceptions about body image and body language while working creatively and collaboratively to clarify abstract concepts through physical action. Evaluation is based on class participation (including labs/screenings and small group rehearsals), engagement with the course blog (including all introduced topics and concepts), and successful completion and presentation of a short sequence of assigned projects. Students with any or no movement experience are welcome. 

Level: Introductory. Prerequisites: None.  Class limit: 11. Lab fee: $50. Default grading option: Credit/No Credit. Meets the following degree requirements: ADS.",
"Baker, Jodi",Movement Training Basics Section B,ADS,Introductory,"This course is an introduction to a wide variety of physical skills useful for anyone interested in investigating their own potential for physical research and self-expression. Techniques are derived from movement training methodologies developed for actors as well as other practices including (but not limited to) classical ballet, martial arts, circus skills, sports training, acrobatics, and improvisation. Students gain a greater sense of physical awareness and imaginative possibility, building strength, mental and physical agility, stamina and flexibility while grappling with questions regarding personal and collective responsibility, personal and collective consent and the power/politics of a specific body in a given space or circumstance. The class works to challenge preconceptions about body image and body language while working creatively and collaboratively to clarify abstract concepts through physical action. Evaluation is based on class participation (including labs/screenings and small group rehearsals), engagement with the course blog (including all introduced topics and concepts), and successful completion and presentation of a short sequence of assigned projects. Students with any or no movement experience are welcome. 

Level: Introductory. Prerequisites: None.  Class limit: 11. Lab fee: $50. Default grading option: Credit/No Credit. Meets the following degree requirements: ADS.",
"Saba, Alexis",Museums and the Making of Public Knowledge,HS,Introductory/Intermediate,"Museums play a powerful role in shaping how communities understand history, culture, science, and the environment. Far from neutral spaces that display objects, museums construct narratives about what matters, whose stories are told, and how knowledge is interpreted and trusted in public life.
Situated within the field of Educational Studies, this course examines museums as institutions that influence how knowledge is created, framed, and experienced beyond the classroom. Drawing on critical and sociocultural approaches to education, the course examines learning as a social and institutional process that extends into cultural and civic spaces. Students investigate how exhibitions, collections, educational initiatives, and interpretive practices shape public understanding and how questions of power, representation, ethics, and community voice emerge within those processes. We will ask: What counts as public knowledge, and who decides? What is the purpose and role of a museum within society? Which knowledge, histories, and ways of knowing are centered in public institutions, and which are marginalized or erased?
Through close reading, case study analysis, site visits, and conversations with practitioners, students will examine how theoretical perspectives on learning and power operate in the everyday practices of cultural institutions. Students will engage in work including argumentative writing addressing ethical dilemmas or speculative re-imaginings of institutional purpose, as well as final project options such as interpretive interventions or educational program design proposals. We will explore multiple frameworks for evaluating museums and practice translating critical analysis into context-responsive practice. The course may be of interest to students pursuing work in education, public history, environmental communication, nonprofit and cultural organizations, for example, and anyone concerned with how knowledge is produced, interpreted, and shared in public life.

Assessment will be based on active participation; ongoing written or multimodal responses to readings and site-based work; analytical and argumentative essays; and a final collaborative project in which students will have the option to either design an interpretive intervention or educational program. Evaluation will emphasize sustained engagement, critical reflection, and the application of theory and inquiry to institutional practice.

Level: Introductory/Intermediate. Prerequisites: None. Class limit: 15. Lab fee: $15. Meets the following degree requirements: HS.",
"McLean, Adam",Music Fundamentals,ADS,Introductory/Intermediate,"This hands-on course deals with the aural, visual, and physical elements of music and its production. Topics include foundational music theory/ear training, the elements of music, basic keyboard and ukulele skills, and arranging/composition. This course is specifically geared toward musical novices and musicians with limited formal training. The sole prerequisite is a desire to make music or simply to enrich one's skills as a critical listener of music. Emphasis is on popular song styles, but analysis of Western art music and non-Western styles are also included for comparison purposes.

Assessment of student work will include appropriate participation in class and musical experiences, weekly reflections and responses, music theory exercises, and mid-term/final projects applying a chosen topic from the course.

Level: Introductory/Intermediate. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: ADS.",
"Lakey, Heather","Nature, Humans, and Philosophy",HS,Introductory/Intermediate,"According to COA’s website, Human Ecology studies the relationships between humans and their natural and social environments. But what do we mean by “nature,” and what distinguishes a natural environment from a social one? Moreover, what kinds of relationships should we cultivate with our natural environments? This discussion-based course explores the concepts of nature and environmental responsibility across different philosophical and cultural frameworks. We will draw on a variety of readings from environmental ethics, ecofeminism, deep ecology, American transcendentalism, indigenous studies, queer theory, and Buddhism. We will read selections from thinkers such as John Stuart Mill, Ralph Waldo Emerson, Ramachandra Guha, Aldo Leopold, Arne Naess, Val Plumwood, Vandana Shiva, Gary Snyder, Henry David Thoreau, Eduardo Kohn, Mary-Jane Rubenstein, Thich Nhat Hanh, Anna Tsing, and others. 

Guiding questions include the following: What is nature? How is the idea of nature politicized and socially constructed? Do we have moral obligations to nature? How should humans relate to nature? What assumptions drive the conceptual distinction between humans and nature? Although this course will focus primarily on theoretical questions, we will also discuss issues in applied ethics such as, control over natural resources, wilderness preservation, sustainability, and consumption. Throughout the course, we will revisit questions pertaining to environmental activism, and we will consider how philosophy can help us to articulate our ethical responsibilities and obligations. 

Upon completion of this course, students will have gained a richer philosophical understanding of the idea of nature and they will be familiar with key debates in environmental ethics. Course requirements include weekly writing assignments, a midterm exam, a final paper, and class participation. There are no prerequisites, but students should arrive to this class prepared to engage difficult philosophical texts and to share their ideas with others. 

Level: Introductory/Intermediate.  Prerequisites: None.  Class limit: 15.  Lab fee: None.  Meets the following degree requirements: HS
",
"Brothers , Tionna",Neurobiology of Sensation and Perception,ES,Introductory/Intermediate,"This will be a course that uses Psychology, Neuroscience, and Biochemistry to explain perception, movement, and the mechanisms of the senses: sight, sound, smell, taste, and touch. The material will first explain the development and cellular structure of the central and peripheral systems that control the senses. We will then broadly cover each sense and the biochemical and molecular reactions that occur in cells; allowing for the sensation of, and response to, external stimuli. A theme in this course will be the ways biological processes relate to our perception of the world, and how this perception relates to color theory, gastronomy, marketing, and our understanding of diseases. For example: the visual system will be introduced via cellular development and will describe basic structure of the eye before explaining how light is sensed by those structures. To tie visual systems with perception, the material will then describe the neural systems that contribute to visual perception and optical illusions. This can also be considered a course on the neural basis of cognition and perception.


The course is based in cellular mechanisms but can be broadly applied to a variety of studies including arts, marketing, and communication. The lasting impact of this course would be a foundation in the molecular biology that produces sensation, and a clear  understanding of how sensation and perception influence the ways in which we interact with the world around us. 

Assessment will be based on active participation in class discussions, the completion of multiple small problem sets, and a long-term final project with a written and oral component. The lab for this course will consist of workshops and discussions that utilize light, sound, and texture to convey principles learned in lecture. 

Level: Introductory/Intermediate. Prerequisite: ES1052: Biology: Cellular Processes of Life. Class limit: 20. Lab fee: None. Meets the following degree requirements: ES.",
"Ferrari , Melissa",Nonfiction Filmmaking,ADS,Introductory/Intermediate,"A century ago, John Grierson described documentary filmmaking as the “creative treatment of actuality,” recognizing the processes of interpretation, intervention, construction, and manipulation in the art of filming reality. In this introductory course, students will complete a series of topical exercises in nonfiction filmmaking, creating several short films that explore the spectrum of fiction, fact, and truth. Embracing filmmaking as a human ecological practice, students will gain exposure to a wide range of interdisciplinary approaches beyond the boundaries of conventional documentary, including essay film, archival/found footage, virtual fieldwork, landscape film, cinéma vérité, and poetic and experimental modes. Technical instruction will include foundations in cameras, basic lighting and cinematography skills, and guidance in editing and sound in Adobe Premiere. Screenings and short readings will kindle ethical questions about representation and power dynamics, honesty and accountability, the role of documentaries in creating change, community and collaboration, and duty of care. Further discussion topics may include re-enactment and mimicry, didacticism, propaganda, and fake documentary. 

Occasional field trips will allow students to practice fieldwork strategies, research methodologies and production skills. Students will be required to attend a weekend field trip to Camden, Maine for the Camden International Film Festival, an acclaimed documentary festival featuring screenings, artist panels, and film pitches. Transportation, lodging and festival passes will be provided.

Evaluation will be based on successful completion of assignments, thoughtful engagement in critiques and conversations, and active participation in production exercises.

Level: Introductory/Intermediate. Prerequisites: None.  Class limit: 12.  Lab fee: $150.  Meets the following degree requirements: ADS.",
"Taylor, Davis","Peasants, Food, and Resistance",HS,Intermediate,"States cannot exist without armies, and armies require soldiers, laborers, and food; additionally, other expressions of state power require massive resources. To support these endeavors, for centuries state power in most parts of the world relied on appropriation of labor and agricultural surplus, principally from peasants, to the point that state power was directly equated with control of intensively-used, monocropped agricultural land and associated peasant populations. This course examines the patterns and processes of how states have sought this appropriation from peasants, how peasants have resisted it, and how food plays a central part in this dynamic. Our principal focus regarding peasant resistance will be on more every-day, persistent and “micro” forms, such as social sanction (e.g. gossip), foot dragging, sabotage, cultural difference-making, illegibility, and (particularly) flight, as opposed to more organized efforts such as open rebellion (which is costly and rarely successful) and transnational movements (which are relatively new). Put another way, the course is about how ordinary people resist authority, particularly in regard to the choice, production, and distribution of food. The course is necessarily human ecological, exploring food studies, political, environmental, and agrarian history, economic anthropology, political theory, and political economy. Beyond the lives of the estimated 1.2 billion peasants living in the world today, course ideas have widespread contemporary relevance and application regarding compliance and resistance to states, corporations, technology, and capitalism, as well as the nature of cultural incorporation and marginalization. Evaluation will be based on preparedness for class, participation in classroom discussions, and several in-class written exercises. 

Level: Intermediate. Prerequisites: one course in anthropology, economics/political economy, or food systems. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.",
"Feldman, David",Physics and Mathematics of Sustainable Energy,ES QR,Introductory,"In this course students will learn content and skills so that they can participate effectively in sustainable energy projects, make personal and community decisions that reduce carbon emissions, and work in ventures in sustainable energy.  Additionally, this course will be useful for those interested in energy and climate policy, either internationally or domestically.  We will begin with a quick overview of current CO2 emissions levels and look at how this is related to energy use.  We will then turn our attention to basic ideas from physics, including the definition of energy and the difference between energy and power.  The bulk of the course will consist of a survey of different forms of energy consumption and generation.  Throughout, we will quantitatively analyze technology from both a local and global point of view.  For example, we will calculate how much electricity one can generate on a rooftop, and we will also examine the role that solar PV could play toward the goal of eliminating fossil fuel use worldwide.  In a unit on financial mathematics, students will learn about the time value of money and several ways of quantifying investments, including ROI (return on investment) and IRR (internal rate of return).  Students will apply these financial tools in several short case studies.  If time permits, we may also cover negative emissions technologies and the electrical grid, including grid stability issues and the potential of smart-grid technology. This will be a demanding, introductory, class. Evaluation will be based on weekly problem sets. 

Level: Introductory.  Prerequisites: None.  Class Limit: 30.  Lab fee $10.00  Meets the following degree requirements: QR ES",
